FraNode,MyNode,nDups,Lon,Lat
353054,3052,3,-98.332525,40.932816
353056,3053,3,-98.33199,26.21488
353065,3054,4,-98.329816,29.305816
353066,3055,3,-98.329813,40.931385
353082,3056,3,-98.325417,29.303638
353085,3057,3,-98.325102,29.303375
353088,3058,3,-98.323572,29.305795
353090,3059,4,-98.323356,29.301242
353092,3060,3,-98.322419,29.300315
353097,3061,1,-98.321541,29.296808
353098,3062,3,-98.321511,29.295719
353099,3063,1,-98.321428,29.29676
353102,3064,3,-98.321239,29.29684
353111,3065,1,-98.317522,29.307006
353113,3066,3,-98.317073,28.772365
353120,3067,3,-98.316248,29.302333
353123,3068,3,-98.315829,40.586806
353128,3069,3,-98.315211,29.29684
353139,3070,1,-98.313347,35.628967
353153,3071,3,-98.311929,35.631107
353161,3072,1,-98.308953,34.348967
353174,3073,3,-98.30709,46.3585
353194,3074,3,-98.303283,35.631747
353215,3075,1,-98.301137,29.231967
353218,3076,3,-98.300725,40.587389
353240,3077,3,-98.298812,40.587502
353245,3078,3,-98.298295,40.53997
353269,3079,3,-98.297288,40.535616
353274,3080,3,-98.296251,30.647775
353281,3081,3,-98.293374,30.645762
353282,3082,3,-98.293098,40.533373
353288,3083,3,-98.291819,30.649603
353296,3084,1,-98.284592,30.571746
353338,3085,3,-98.2743,29.626469
353349,3086,1,-98.270942,26.149022
353358,3087,3,-98.264891,29.626935
353377,3088,1,-98.255482,41.217814
353383,3089,3,-98.253208,29.633718
353394,3090,3,-98.250874,37.222253
353401,3091,3,-98.247537,29.641103
353423,3092,3,-98.242012,37.2373
353430,3093,3,-98.240845,26.205588
353485,3094,3,-98.226954,37.237992
353507,3095,3,-98.223955,44.368545
353510,3096,3,-98.223643,30.747801
353515,3097,1,-98.223067,30.758155
353522,3098,3,-98.221464,30.75156
353527,3099,3,-98.219587,30.748778
353604,3100,3,-98.1954,46.34043
353605,3101,1,-98.195311,47.262842
