yNum,Yard,nLinks,State,OneNode,Lon,Lat,include
679,"St. Louis, MO",1,MO,395008,-90.213504,38.688806,TRUE
680,"St. Louis, MO - Lindenwood",2,MO,392598,-90.493288,38.218528,TRUE
681,"St. Paul, MN - Midway",3,MN,382394,-93.20767,44.972935,TRUE
682,"Stackbridge, MA",2,MA,493459,-71.811839,42.245696,TRUE
683,STATE JCT,1,SC,463591,-79.860947,33.144907,TRUE
684,STATE LINE,2,MO,374727,-94.60724,39.099988,TRUE
685,STATE LINE PWR PLT,2,IL,415936,-87.526008,41.707724,TRUE
686,STOCKTON INTERMODAL TERMINAL,1,CA,314069,-121.259702,37.950351,TRUE
687,STOCKTON YARD,5,CA,313746,-121.274289,37.907036,TRUE
688,STOCKTON YARD (CALTRAIN SHOPS),1,CA,311285,-121.914288,37.342221,TRUE
689,"Stockton, CA",2,CA,313886,-121.271337,37.901406,TRUE
690,STRANG,3,TX,371933,-95.043264,29.683482,TRUE
691,SUNNYSIDE,1,TX,377551,-94.165657,30.071083,TRUE
692,SWEETWATER,2,TX,349158,-100.39933,32.50641,TRUE
693,Talleyrand Intermodal Container Transfer Facility (ICTF),3,FL,450150,-81.645318,30.349671,TRUE
694,"Tampa, FL",1,FL,445641,-82.384023,27.955503,TRUE
695,"Taylor, PA",3,PA,481913,-75.783535,41.343879,TRUE
696,TEMPLE,4,TX,357842,-97.354922,31.094714,TRUE
697,TENNESSEE,1,TN,399370,-89.865066,34.994259,TRUE
698,Terminal,7,CA,318637,-119.203487,25.951973,TRUE
699,Terminal 115 (T-115),1,WA,307239,-122.355815,47.570539,TRUE
700,Terminal 18 (T-18),1,WA,307360,-122.349271,47.572536,TRUE
701,Terminal 3 (T-3),1,WA,307464,-122.340535,47.570834,TRUE
702,Terminal 5,1,WA,307239,-122.355815,47.570539,TRUE
703,TEXARKANA,2,TX,378127,-94.049975,33.416568,TRUE
704,TEXARKANA UP(SSW),1,TX,378119,-94.051518,33.415616,TRUE
705,TEXAS CITY TERMINAL,1,TX,372417,-94.939742,29.350115,TRUE
706,THOMASVILLE,1,GA,435729,-83.99284,30.833201,TRUE
707,THOMSON WORKS,1,PA,464193,-79.837733,40.392227,TRUE
708,TIPTON,1,IN,423043,-86.50451,40.282661,TRUE
709,TOLEDO MEGA TERMINAL,1,OH,437686,-83.613414,41.632944,TRUE
710,"Toledo, OH",3,OH,437083,-83.709479,41.634169,TRUE
711,TOPEKA (BNSF),1,KS,367800,-95.663726,39.053404,TRUE
712,Total Terminals International (TTI/Pier T),1,CA,321280,-118.238196,33.760317,TRUE
713,TOWER 55,4,TX,357923,-97.349984,32.737287,TRUE
714,TRACY YARD,1,CA,312831,-121.419892,37.735937,TRUE
715,TRANSFER,1,IN,424358,-86.215563,39.755803,TRUE
716,TRANSFER YARD,2,CA,320943,-118.254259,33.771895,TRUE
717,TRANSFLO TERMINAL,1,TN,421797,-86.771536,36.146694,TRUE
718,TraPac Terminal,1,CA,308010,-122.311923,37.822994,TRUE
719,TRINIDAD,1,CO,342365,-104.486951,36.993897,TRUE
720,TUCKAHOE,1,NJ,485963,-74.761206,39.292804,TRUE
721,TUCSON YARD,1,AZ,335305,-110.952718,32.213283,TRUE
722,"Tucson, AZ",2,AZ,335597,-110.761756,32.07535,TRUE
723,TWIN FALLS,1,ID,329042,-114.765397,42.594405,TRUE
724,TYBURN YARD,1,PA,485942,-74.768518,40.191897,TRUE
725,UCETA,1,FL,445429,-82.40298,27.959596,TRUE
726,UNION STOCK YARD,1,NE,365981,-95.95018,41.204635,TRUE
727,VALLEY,3,IL,396173,-90.150441,38.577614,TRUE
728,VAN BUREN,1,AR,376537,-94.35941,35.435201,TRUE
729,VASSAR,1,MI,437844,-83.57765,43.37433,TRUE
730,Velasco Container Terminal,1,TX,369493,-95.344478,28.938349,TRUE
731,VENICE,1,IL,395935,-90.165024,38.643608,TRUE
732,Virginia International Gateway (VIG),3,VA,479573,-76.43484,36.841978,TRUE
733,VON WILLER,1,OH,450349,-81.631231,41.465463,TRUE
734,WALL STREET,1,TX,377803,-94.111542,30.076841,TRUE
735,Wando Welch Terminal,3,SC,461883,-79.949919,32.825708,TRUE
736,WANSFORD,1,IN,415782,-87.539964,38.013051,TRUE
737,WARM SPRINGS YARD,1,CA,311299,-121.909363,37.443328,TRUE
738,WARNER,1,MI,438828,-83.434242,41.851371,TRUE
739,Washington United Terminals (WUT),1,WA,305981,-122.404036,47.254587,TRUE
740,WATERVILLE,2,ME,495883,-69.626684,44.559828,TRUE
741,WATKINS ROAD,1,OH,442244,-82.948984,39.891836,TRUE
742,WATSON YARD,1,CA,320963,-118.253864,33.79829,TRUE
743,WAUHATCHIE,1,TN,428035,-85.38472,34.983249,TRUE
744,WAVERLY,2,MI,424962,-86.086089,40.690892,TRUE
745,WAYNE (NS),1,MI,439054,-83.397116,42.277603,TRUE
746,WELLINGTON,1,KS,357303,-97.395806,37.26068,TRUE
747,WEST ALBANY,2,NY,490953,-73.794041,42.687244,TRUE
748,West Basin Container Terminal (WBCT) - China Shipping Holding (Berths 1-19),1,CA,320831,-118.263198,33.766779,TRUE
749,WEST BROWNSVILLE,4,PA,462893,-79.893408,40.03162,TRUE
