,energy_system_scenario,oil_prices,renewables_prices,hydrogen_subsidies,region,year,energy_price,technology,energy_price_unit,upstream_CO2_emission_factor,CO2_emission_factor_unit
90,50% CO2 reduction by 2050,High,Advanced,Yes,south_east,2025,3.884601851,Biodiesel,$/Gallon,2.4,kgCO2/gallon
91,50% CO2 reduction by 2050,High,Advanced,Yes,south_east,2030,7.866183916,Biodiesel,$/Gallon,2.4,kgCO2/gallon
92,50% CO2 reduction by 2050,High,Advanced,Yes,south_east,2035,7.068290817,Biodiesel,$/Gallon,2.4,kgCO2/gallon
93,50% CO2 reduction by 2050,High,Advanced,Yes,south_east,2040,5.991695661,Biodiesel,$/Gallon,2.4,kgCO2/gallon
94,50% CO2 reduction by 2050,High,Advanced,Yes,south_east,2045,4.201897213,Biodiesel,$/Gallon,2.4,kgCO2/gallon
95,50% CO2 reduction by 2050,High,Advanced,Yes,south_east,2050,3.803191553,Biodiesel,$/Gallon,2.4,kgCO2/gallon
96,50% CO2 reduction by 2050,High,Advanced,Yes,south_west,2025,1.8581871,Biodiesel,$/Gallon,2.4,kgCO2/gallon
97,50% CO2 reduction by 2050,High,Advanced,Yes,south_west,2030,3.739670766,Biodiesel,$/Gallon,2.4,kgCO2/gallon
98,50% CO2 reduction by 2050,High,Advanced,Yes,south_west,2035,2.930157865,Biodiesel,$/Gallon,2.4,kgCO2/gallon
99,50% CO2 reduction by 2050,High,Advanced,Yes,south_west,2040,2.295836396,Biodiesel,$/Gallon,2.4,kgCO2/gallon
100,50% CO2 reduction by 2050,High,Advanced,Yes,south_west,2045,1.798876324,Biodiesel,$/Gallon,2.4,kgCO2/gallon
101,50% CO2 reduction by 2050,High,Advanced,Yes,south_west,2050,1.409478579,Biodiesel,$/Gallon,2.4,kgCO2/gallon
102,50% CO2 reduction by 2050,High,Advanced,Yes,texas,2025,13.56682106,Biodiesel,$/Gallon,2.4,kgCO2/gallon
103,50% CO2 reduction by 2050,High,Advanced,Yes,texas,2030,9.113323319,Biodiesel,$/Gallon,2.4,kgCO2/gallon
104,50% CO2 reduction by 2050,High,Advanced,Yes,texas,2035,7.244353239,Biodiesel,$/Gallon,2.4,kgCO2/gallon
105,50% CO2 reduction by 2050,High,Advanced,Yes,texas,2040,5.739227169,Biodiesel,$/Gallon,2.4,kgCO2/gallon
106,50% CO2 reduction by 2050,High,Advanced,Yes,texas,2045,4.241655418,Biodiesel,$/Gallon,2.4,kgCO2/gallon
107,50% CO2 reduction by 2050,High,Advanced,Yes,texas,2050,3.487718501,Biodiesel,$/Gallon,2.4,kgCO2/gallon
108,50% CO2 reduction by 2050,High,Conservative,No,california,2025,1.858258696,Biodiesel,$/Gallon,2.4,kgCO2/gallon
109,50% CO2 reduction by 2050,High,Conservative,No,california,2030,3.740094918,Biodiesel,$/Gallon,2.4,kgCO2/gallon
110,50% CO2 reduction by 2050,High,Conservative,No,california,2035,2.929502471,Biodiesel,$/Gallon,2.4,kgCO2/gallon
111,50% CO2 reduction by 2050,High,Conservative,No,california,2040,2.296152218,Biodiesel,$/Gallon,2.4,kgCO2/gallon
112,50% CO2 reduction by 2050,High,Conservative,No,california,2045,1.798754932,Biodiesel,$/Gallon,2.4,kgCO2/gallon
113,50% CO2 reduction by 2050,High,Conservative,No,california,2050,1.40944015,Biodiesel,$/Gallon,2.4,kgCO2/gallon
114,50% CO2 reduction by 2050,High,Conservative,No,central,2025,6.549076411,Biodiesel,$/Gallon,2.4,kgCO2/gallon
115,50% CO2 reduction by 2050,High,Conservative,No,central,2030,5.133014666,Biodiesel,$/Gallon,2.4,kgCO2/gallon
116,50% CO2 reduction by 2050,High,Conservative,No,central,2035,4.020443207,Biodiesel,$/Gallon,2.4,kgCO2/gallon
117,50% CO2 reduction by 2050,High,Conservative,No,central,2040,3.20442662,Biodiesel,$/Gallon,2.4,kgCO2/gallon
118,50% CO2 reduction by 2050,High,Conservative,No,central,2045,2.593004381,Biodiesel,$/Gallon,2.4,kgCO2/gallon
119,50% CO2 reduction by 2050,High,Conservative,No,central,2050,2.065662611,Biodiesel,$/Gallon,2.4,kgCO2/gallon
120,50% CO2 reduction by 2050,High,Conservative,No,middle_atlantic,2025,6.549742951,Biodiesel,$/Gallon,2.4,kgCO2/gallon
121,50% CO2 reduction by 2050,High,Conservative,No,middle_atlantic,2030,8.295307586,Biodiesel,$/Gallon,2.4,kgCO2/gallon
122,50% CO2 reduction by 2050,High,Conservative,No,middle_atlantic,2035,4.774716378,Biodiesel,$/Gallon,2.4,kgCO2/gallon
123,50% CO2 reduction by 2050,High,Conservative,No,middle_atlantic,2040,3.20444483,Biodiesel,$/Gallon,2.4,kgCO2/gallon
124,50% CO2 reduction by 2050,High,Conservative,No,middle_atlantic,2045,4.06359674,Biodiesel,$/Gallon,2.4,kgCO2/gallon
125,50% CO2 reduction by 2050,High,Conservative,No,middle_atlantic,2050,4.777666439,Biodiesel,$/Gallon,2.4,kgCO2/gallon
126,50% CO2 reduction by 2050,High,Conservative,No,north_east,2025,13.97116509,Biodiesel,$/Gallon,2.4,kgCO2/gallon
127,50% CO2 reduction by 2050,High,Conservative,No,north_east,2030,11.07668974,Biodiesel,$/Gallon,2.4,kgCO2/gallon
128,50% CO2 reduction by 2050,High,Conservative,No,north_east,2035,9.014154863,Biodiesel,$/Gallon,2.4,kgCO2/gallon
129,50% CO2 reduction by 2050,High,Conservative,No,north_east,2040,7.39868214,Biodiesel,$/Gallon,2.4,kgCO2/gallon
130,50% CO2 reduction by 2050,High,Conservative,No,north_east,2045,6.252122891,Biodiesel,$/Gallon,2.4,kgCO2/gallon
131,50% CO2 reduction by 2050,High,Conservative,No,north_east,2050,5.125489996,Biodiesel,$/Gallon,2.4,kgCO2/gallon
132,50% CO2 reduction by 2050,High,Conservative,No,north_west,2025,4.772290314,Biodiesel,$/Gallon,2.4,kgCO2/gallon
133,50% CO2 reduction by 2050,High,Conservative,No,north_west,2030,3.74066731,Biodiesel,$/Gallon,2.4,kgCO2/gallon
134,50% CO2 reduction by 2050,High,Conservative,No,north_west,2035,2.929106058,Biodiesel,$/Gallon,2.4,kgCO2/gallon
135,50% CO2 reduction by 2050,High,Conservative,No,north_west,2040,2.296081062,Biodiesel,$/Gallon,2.4,kgCO2/gallon
136,50% CO2 reduction by 2050,High,Conservative,No,north_west,2045,1.798634701,Biodiesel,$/Gallon,2.4,kgCO2/gallon
137,50% CO2 reduction by 2050,High,Conservative,No,north_west,2050,1.409471256,Biodiesel,$/Gallon,2.4,kgCO2/gallon
138,50% CO2 reduction by 2050,High,Conservative,No,north_central,2025,6.549530203,Biodiesel,$/Gallon,2.4,kgCO2/gallon
139,50% CO2 reduction by 2050,High,Conservative,No,north_central,2030,5.132984772,Biodiesel,$/Gallon,2.4,kgCO2/gallon
140,50% CO2 reduction by 2050,High,Conservative,No,north_central,2035,4.020501327,Biodiesel,$/Gallon,2.4,kgCO2/gallon
141,50% CO2 reduction by 2050,High,Conservative,No,north_central,2040,3.204353452,Biodiesel,$/Gallon,2.4,kgCO2/gallon
142,50% CO2 reduction by 2050,High,Conservative,No,north_central,2045,2.593078061,Biodiesel,$/Gallon,2.4,kgCO2/gallon
143,50% CO2 reduction by 2050,High,Conservative,No,north_central,2050,2.065666995,Biodiesel,$/Gallon,2.4,kgCO2/gallon
144,50% CO2 reduction by 2050,High,Conservative,No,south_east,2025,3.635569363,Biodiesel,$/Gallon,2.4,kgCO2/gallon
145,50% CO2 reduction by 2050,High,Conservative,No,south_east,2030,10.77518012,Biodiesel,$/Gallon,2.4,kgCO2/gallon
146,50% CO2 reduction by 2050,High,Conservative,No,south_east,2035,8.779824015,Biodiesel,$/Gallon,2.4,kgCO2/gallon
147,50% CO2 reduction by 2050,High,Conservative,No,south_east,2040,3.205012032,Biodiesel,$/Gallon,2.4,kgCO2/gallon
148,50% CO2 reduction by 2050,High,Conservative,No,south_east,2045,5.800976541,Biodiesel,$/Gallon,2.4,kgCO2/gallon
149,50% CO2 reduction by 2050,High,Conservative,No,south_east,2050,4.790770395,Biodiesel,$/Gallon,2.4,kgCO2/gallon
150,50% CO2 reduction by 2050,High,Conservative,No,south_west,2025,1.86051715,Biodiesel,$/Gallon,2.4,kgCO2/gallon
151,50% CO2 reduction by 2050,High,Conservative,No,south_west,2030,3.744937942,Biodiesel,$/Gallon,2.4,kgCO2/gallon
152,50% CO2 reduction by 2050,High,Conservative,No,south_west,2035,2.924666251,Biodiesel,$/Gallon,2.4,kgCO2/gallon
153,50% CO2 reduction by 2050,High,Conservative,No,south_west,2040,2.92271591,Biodiesel,$/Gallon,2.4,kgCO2/gallon
154,50% CO2 reduction by 2050,High,Conservative,No,south_west,2045,1.172023757,Biodiesel,$/Gallon,2.4,kgCO2/gallon
155,50% CO2 reduction by 2050,High,Conservative,No,south_west,2050,1.409444089,Biodiesel,$/Gallon,2.4,kgCO2/gallon
156,50% CO2 reduction by 2050,High,Conservative,No,texas,2025,13.18328062,Biodiesel,$/Gallon,2.4,kgCO2/gallon
