energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
Reference/business as usual,Population Shift,2050,central,biodiesel,2.055996398,$/gallon
Reference/business as usual,Population Shift,2050,central,catenary,0.033083419,$/kWh
Reference/business as usual,Population Shift,2050,central,battery,0.033083419,$/kWh
Reference/business as usual,Population Shift,2050,middle_atlantic,diesel,2.358954995,$/gallon
Reference/business as usual,Population Shift,2050,middle_atlantic,hydrogen,1.180173612,$/kgH2
Reference/business as usual,Population Shift,2050,middle_atlantic,biodiesel,3.334036131,$/gallon
Reference/business as usual,Population Shift,2050,middle_atlantic,catenary,0.037789307,$/kWh
Reference/business as usual,Population Shift,2050,middle_atlantic,battery,0.037789307,$/kWh
Reference/business as usual,Population Shift,2050,north_central,diesel,1.965873311,$/gallon
Reference/business as usual,Population Shift,2050,north_central,hydrogen,1.139500169,$/kgH2
Reference/business as usual,Population Shift,2050,north_central,biodiesel,2.061303068,$/gallon
Reference/business as usual,Population Shift,2050,north_central,catenary,0.037094318,$/kWh
Reference/business as usual,Population Shift,2050,north_central,battery,0.037094318,$/kWh
Reference/business as usual,Population Shift,2050,north_east,diesel,2.199164622,$/gallon
Reference/business as usual,Population Shift,2050,north_east,hydrogen,1.481458138,$/kgH2
Reference/business as usual,Population Shift,2050,north_east,biodiesel,3.197558666,$/gallon
Reference/business as usual,Population Shift,2050,north_east,catenary,0.048282734,$/kWh
Reference/business as usual,Population Shift,2050,north_east,battery,0.048282734,$/kWh
Reference/business as usual,Population Shift,2050,north_west,diesel,1.933611501,$/gallon
Reference/business as usual,Population Shift,2050,north_west,hydrogen,1.191788882,$/kgH2
Reference/business as usual,Population Shift,2050,north_west,biodiesel,1.501106274,$/gallon
Reference/business as usual,Population Shift,2050,north_west,catenary,0.035539505,$/kWh
Reference/business as usual,Population Shift,2050,north_west,battery,0.035539505,$/kWh
Reference/business as usual,Population Shift,2050,south_east,diesel,2.073130555,$/gallon
Reference/business as usual,Population Shift,2050,south_east,hydrogen,1.144104716,$/kgH2
Reference/business as usual,Population Shift,2050,south_east,biodiesel,3.086569345,$/gallon
Reference/business as usual,Population Shift,2050,south_east,catenary,0.040616709,$/kWh
Reference/business as usual,Population Shift,2050,south_east,battery,0.040616709,$/kWh
Reference/business as usual,Population Shift,2050,south_west,diesel,1.933611501,$/gallon
Reference/business as usual,Population Shift,2050,south_west,hydrogen,1.192289715,$/kgH2
