energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_charging_stations,operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ),cost_per_station ($),infrastructure_O&M_cost ($/year)
Reference/business as usual,Agricultural Shift,2045,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,texas,battery,45,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,california,hydrogen,52,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,california,battery,38,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,central,hydrogen,52,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,central,catenary,0,0,14461141,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,central,battery,44,15907255,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,diesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,hydrogen,49,13888006,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,middle_atlantic,battery,56,15150552,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_central,diesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_central,hydrogen,54,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,north_central,battery,55,31441199,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_east,hydrogen,42,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,north_east,battery,39,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_west,hydrogen,41,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,north_west,battery,56,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_east,hydrogen,46,8176796,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,south_east,battery,40,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_west,hydrogen,51,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,south_west,battery,45,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,texas,hydrogen,50,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,texas,biodiesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2050,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2050,texas,battery,41,15179882,12649902,460833.7237,455000000
