Dist(mi),SpdLim(mph),Grade(%),Curve(Doc),Catenary(Y/N),Elev
90.88365308,60.0,-0.634,0.041,0,178.0707972
91.19433175,60.0,-0.226,0.552,0,174.3714339
91.49723955,38.57136649,0.593,3.841,0,183.8554762
91.8054203,40.49914076,0.044,3.484,0,184.5687435
92.11588957,60.0,0.03,0.116,0,185.0535188
92.4260761,60.0,0.011,0.222,0,185.2280991
92.73527591,60.0,0.496,0.538,0,193.3265561
93.04444215,60.0,0.308,0.538,0,198.3541022
93.35512765,60.0,0.53,0.0,0,207.0483256
93.66400744,56.03599647,0.342,1.82,0,212.6318149
93.97335389,60.0,-1.107,0.202,0,194.5548775
94.26833921,40.13870681,2.017,3.547,1,225.9640229
94.5789924,51.33094841,0.417,2.169,0,232.8003029
94.88961265,60.0,0.699,0.424,0,244.2661006
95.20027143,60.0,0.731,0.419,0,256.2536295
95.51095693,60.0,0.181,0.231,0,259.2267755
95.82154735,60.0,-0.278,0.301,0,254.6671733
96.13223285,60.0,0.521,0.069,0,263.2100348
96.44291649,60.0,1.3,0.044,0,284.5312751
96.50716874,60.0,0.92,0.044,0,287.6539861
96.81785424,60.0,0.73,0.0,0,299.6290483
97.12760582,60.0,-0.059,0.622,0,298.6582342
97.41742381,43.16115289,-0.019,3.067,0,298.3704462
97.72795831,60.0,1.821,1.162,0,328.2338111
98.03764713,60.0,1.379,1.162,0,350.7786019
98.34833263,60.0,0.177,0.377,0,353.68358
98.65901813,60.0,0.054,0.0,0,354.5696159
98.96970363,60.0,0.894,0.0,0,369.23501
99.28038913,60.0,1.249,0.37,0,389.7208893
99.58918443,60.0,1.371,0.977,0,412.0774823
99.89986993,60.0,1.638,0.799,0,438.9469816
100.2092356,60.0,0.779,1.357,0,451.6771267
100.5198969,60.0,1.131,0.863,0,470.2225431
100.828453,47.88079629,1.316,2.493,0,491.6631136
101.1322642,39.35880082,1.45,3.689,0,514.9289359
101.4380987,43.27780838,1.349,3.051,0,536.7158629
101.726244,37.7260405,2.718,4.015,1,578.0699567
102.017882,60.0,2.293,1.281,1,613.3731296
102.3140609,55.33361354,2.901,1.866,1,658.7334634
102.6021037,60.0,1.713,0.805,0,684.7810162
102.8963614,50.49033346,1.982,2.242,0,715.5703842
103.1970677,60.0,2.268,1.074,1,751.5871259
103.5057691,41.93264576,2.103,3.25,1,785.8581479
103.8025278,60.0,2.046,1.096,1,817.90961
104.0572955,60.0,2.398,1.525,1,850.1608229
104.3058359,51.78385919,2.8,2.131,1,886.909304
104.6086846,60.0,2.122,0.877,1,920.8363976
104.9193701,60.0,2.655,1.122,1,964.3878298
105.2187672,46.02386536,2.588,2.698,1,1005.299689
105.4608919,46.02386536,1.809,2.698,0,1028.431174
105.7713533,60.0,0.0,0.0,0,1028.431174
106.0818148,60.0,3.39,0.243,1,1084.004193
106.3887025,60.0,2.859,0.907,1,1130.32726
106.694926,60.0,2.286,1.041,1,1167.286638
106.9997594,60.0,2.223,0.243,1,1203.073243
107.2967617,60.0,2.406,1.094,1,1240.800126
107.5955044,51.9098527,2.007,2.121,1,1272.453069
107.8876954,43.06830623,2.348,3.081,1,1308.671753
108.1808918,60.0,1.976,0.331,0,1339.257003
108.4786926,56.52286496,1.094,1.789,0,1356.458064
108.7790913,60.0,1.572,0.626,0,1381.395764
109.0822396,60.0,0.029,0.775,0,1381.859343
109.3853213,59.06575281,0.845,1.638,0,1395.374973
109.6907227,60.0,1.043,1.257,0,1412.195991
109.9925114,41.13692253,1.348,3.377,0,1433.672395
110.3028334,55.29314003,-0.388,1.869,0,1427.318628
110.6130852,60.0,2.791,0.678,1,1473.038351
110.9170555,42.10952061,0.759,3.223,0,1485.212173
111.2047106,39.43932212,0.81,3.674,0,1497.516218
111.507591,51.37462353,2.298,2.165,1,1534.268597
111.801781,32.06703343,2.113,5.557,1,1567.084862
112.1116139,60.0,2.37,1.399,1,1605.861403
112.4169873,37.26373226,2.232,4.115,1,1641.848807
112.7193806,35.48772893,1.564,4.537,0,1666.826674
113.0300661,53.90458585,1.717,1.967,0,1694.987146
113.327801,60.0,1.53,1.56,0,1719.032261
113.6308051,60.0,0.364,0.994,0,1724.851968
113.9412589,60.0,0.055,1.163,0,1725.745642
113.9988504,60.0,0.467,1.163,0,1727.166608
114.3031619,60.0,-0.871,0.85,0,1713.179
114.5757903,60.0,0.194,0.85,0,1715.965196
114.8224485,26.38746865,-0.201,8.207,0,1713.35063
115.1138615,48.82310004,1.153,2.397,0,1731.099005
115.4105513,60.0,-1.911,0.545,0,1701.158625
115.7181952,50.90297659,2.057,2.205,1,1734.57971
116.0104856,56.43821846,0.673,1.794,0,1744.971933
116.3142428,60.0,-0.392,0.542,0,1738.692375
116.6150833,60.0,0.433,1.004,0,1745.56359
116.9194942,53.07863527,-0.003,2.028,0,1745.522443
