,"Unit No	""Type (1","17)""	Tare(ton)	Net(ton)	Gross(ton)	Len(ft)	Axles(n)	aRes	bRes*1000	cRes*1000	eMax(MWh)	eInit(MWh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)"
89,90	11	107.5	87.5	195	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
90,91	12	130.4	110	240.4	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
91,92	12	155.3	110	265.3	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
92,93	11	106.3	87.5	193.8	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
93,94	11	21.8	87.5	109.3	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
94,95	11	22.4	87.5	109.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
95,96	11	120.9	87.5	208.4	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
96,97	11	21.3	87.5	108.8	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
97,98	11	117.1	87.5	204.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
98,99	11	22.1	87.5	109.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
99,100	11	20.8	87.5	108.3	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
100,101	11	112.7	87.5	200.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
101,102	11	23.9	87.5	111.4	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
102,103	11	100.1	87.5	187.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
103,104	11	23.6	87.5	111.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
104,105	11	99.1	87.5	186.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
105,106	11	105.6	87.5	193.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
106,107	12	146.9	110	256.9	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
107,108	12	30.6	110	140.6	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
108,109	11	112.3	87.5	199.8	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
109,110	12	134.3	110	244.3	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
110,111	11	24.7	87.5	112.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
111,112	11	20.5	87.5	108	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
112,113	11	103	87.5	190.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
113,114	5	193.8	0	193.8	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
114,115	5	225.3	0	225.3	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
115,116	8	106.7	0	106.7	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
116,117	8	95.1	0	95.1	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
117,118	8	107	0	107	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
