,energy_system_scenario,freight_demand_scenario,year,region,technology,levelized_train_cost (cents/ton-mile),levelized_fuel_cost (cents/ton-mile),levelized_infrastructure_cost (cents/ton-mile),levelized_contingency_cost (cents/ton-mile),total_levelized_cost (cents/ton-mile)
68,Reference/business as usual,Agricultural Reduction,2030,central,diesel,0.34243156429475935,1.9675116648256719,0.6219490642492761,0.5863784586739414,3.5182707520436485
69,Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,biodiesel,0.0,0.0,inf,0.0,0.0
70,Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,catenary,0.0,2.057722618420574,14.95847177902054,3.4032388794882227,20.41943327692934
71,Reference/business as usual,Agricultural Reduction,2030,middle_atlantic,diesel,0.3312597706462742,4.14047201431274,0.7998342350817046,1.0543132040081438,6.3258792240488635
72,Reference/business as usual,Agricultural Reduction,2030,north_central,biodiesel,0.0,0.0,inf,0.0,0.0
73,Reference/business as usual,Agricultural Reduction,2030,north_central,catenary,0.0,0.6726144048864269,5.7506626831578185,1.2846554176088492,7.707932505653094
74,Reference/business as usual,Agricultural Reduction,2030,north_central,diesel,0.2876778201420963,0.9581379736281053,0.26542492539469886,0.3022481438329801,1.8134888629978805
75,Reference/business as usual,Agricultural Reduction,2030,north_east,biodiesel,0.0,0.0,inf,0.0,0.0
76,Reference/business as usual,Agricultural Reduction,2030,north_east,catenary,0.0,7.937931322209897,94.40954459251778,20.469495182945533,122.8169710976732
77,Reference/business as usual,Agricultural Reduction,2030,north_east,diesel,0.3013809754779821,7.068092056253769,4.705061041577059,2.414906814661762,14.489440887970572
78,Reference/business as usual,Agricultural Reduction,2030,north_west,biodiesel,0.0,0.0,inf,0.0,0.0
79,Reference/business as usual,Agricultural Reduction,2030,north_west,catenary,0.0,0.4053862289900712,8.049832770524691,1.6910437999029526,10.146262799417716
80,Reference/business as usual,Agricultural Reduction,2030,north_west,diesel,0.31990112843711715,0.5229614033171033,0.4263054083892534,0.25383358802869477,1.5230015281721687
81,Reference/business as usual,Agricultural Reduction,2030,south_east,biodiesel,0.0,0.0,inf,0.0,0.0
82,Reference/business as usual,Agricultural Reduction,2030,south_east,catenary,0.0,1.2081346911689999,10.769202967709187,2.3954675317756373,14.372805190653825
83,Reference/business as usual,Agricultural Reduction,2030,south_east,diesel,0.32841645031529704,2.3253797940605208,0.59033925008312,0.6488270988917876,3.8929625933507253
84,Reference/business as usual,Agricultural Reduction,2030,south_west,biodiesel,0.0,0.0,inf,0.0,0.0
85,Reference/business as usual,Agricultural Reduction,2030,south_west,catenary,0.0,0.5459294852495306,22.95364234054243,4.699914365158392,28.199486190950353
86,Reference/business as usual,Agricultural Reduction,2030,south_west,diesel,0.310748990215136,0.9018282156717173,1.1631875702058219,0.475152955218535,2.85091773131121
87,Reference/business as usual,Agricultural Reduction,2030,texas,biodiesel,0.0,0.0,inf,0.0,0.0
88,Reference/business as usual,Agricultural Reduction,2030,texas,catenary,0.0,1.0308409189962568,14.791984414211571,3.1645650666415657,18.987390399849392
89,Reference/business as usual,Agricultural Reduction,2030,texas,diesel,0.33714162288528393,1.938683167855309,0.8365562141438873,0.622476200976896,3.7348572058613767
